,d,data,data_ns
BABAAABB,4,-0.03786762153155783,777156.0
BABAABAB,4,-0.05665898722276769,778638.0
BABAABBA,4,-0.03577828050132345,778458.0
BABABAAB,4,-0.056070678030611644,777246.0
BABABABA,4,-0.02810023026952714,777106.0
BABABBAA,4,-0.04104202078558024,778274.0
BABBAAAB,4,0.013013758132301132,2332476.0
BABBAABA,4,0.11463593415558336,2332726.0
BABBABAA,4,0.03219260570636082,2335554.0
BABBBAAA,4,0.17658975114987108,2332806.0
BBAAAABB,4,0.014576668258517242,780220.0
BBAAABAB,4,-0.004917034900713762,781510.0
BBAAABBA,4,0.015665284962539123,781630.0
BBAABAAB,4,-0.009167963845178529,780072.0
BBAABABA,4,0.01209833488320609,780110.0
BBAABBAA,4,-0.00396569500751423,781104.0
BBABAAAB,4,-0.01351526244130764,2340460.0
BBABAABA,4,0.052226736170388234,2342038.0
BBABABAA,4,-0.01059713796574262,2345704.0
BBABBAAA,4,0.026973528479102848,2341698.0
BBBAAAAB,4,0.0032313607691784297,788410.0
BBBAAABA,4,0.029170439680220445,788948.0
BBBAABAA,4,0.006043880481686371,790432.0
BBBABAAA,4,0.05986727782239721,788826.0
BBBBAAAA,4,0.1759979580996231,2366090.0
AAAAABBB,5,-0.0017063906932534973,2336006.0
AAAABABB,5,-0.008190614061311273,2329424.0
AAAABBAB,5,-0.018706465094020703,2332016.0
AAAABBBA,5,0.01367784456761567,2332294.0
AAABAABB,5,0.014357572985921037,6994850.0
AAABABAB,5,-0.04228703839743826,7006392.0
AAABABBA,5,0.01656332318388965,7006774.0
AAABBAAB,5,-0.025911405403642448,6990194.0
AAABBABA,5,0.07184431814653226,6990540.0
AAABBBAA,5,0.013214731136867901,6999100.0
AABAAABB,5,-0.0447036347170827,2331166.0
AABAABAB,5,-0.06194094853263978,2335494.0
AABAABBA,5,-0.04319919592075609,2334620.0
AABABAAB,5,-0.06318885227958172,2331274.0
AABABABA,5,-0.03689330788172987,2330804.0
AABABBAA,5,-0.048774593669606604,2334166.0
AABBAAAB,5,-0.004934207127454986,6996122.0
AABBAABA,5,0.090099519708481,6996342.0
AABBABAA,5,0.012514591673097432,7005288.0
AABBBAAA,5,0.14650759928965137,6997064.0
ABAAAABB,5,0.001716018955866588,2336298.0
ABAAABAB,5,-0.015083842996115988,2340470.0
ABAAABBA,5,0.0024487960104335915,2340346.0
ABAABAAB,5,-0.01934747152049433,2336340.0
ABAABABA,5,-0.001061478479218704,2336382.0
ABAABBAA,5,-0.014367475247093003,2339496.0
ABABAAAB,5,-0.031165359947752196,7010048.0
ABABAABA,5,0.025976300052959714,7012258.0
ABABABAA,5,-0.030667974768587226,7025456.0
ABABBAAA,5,0.0018067897397772738,7011696.0
ABBAAAAB,5,-0.049781331905056084,2360000.0
